,region,townsize,gender,age,agecat,ed,edcat,jobcat,union,employ,empcat,retire,income,lninc,inccat,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,active,bfast,tenure,churn,longmon,lnlongmon,longten,lnlongten,tollfree,tollmon,lntollmon,tollten,lntollten,equip,equipmon,lnequipmon,equipten,lnequipten,callcard,cardmon,lncardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03,Total_Spend,Log_total_spend
region,1.0,0.4141943925055149,-0.01280973557078698,-0.02652545488968158,-0.01845528516484712,0.013173254904470936,0.01570965371058426,-0.004717454831713668,-0.013767673567528197,-0.011035782482832508,-0.009345220315522467,-0.04284887170144493,0.044822601483951494,0.04299451599981666,0.041849787711753496,-0.005480385620319838,0.01742734288241049,0.008162746085763294,0.040080850565350275,0.03223475545318895,-0.006856350187853376,0.01563092951602437,0.056497902241694486,0.052841848684416895,0.05029896007057601,0.04820295321490291,-0.012092890986286995,-0.020350530181455665,0.022667313600843664,0.0026268400291234316,-0.010965304394596411,0.02429035850312893,0.02207630099474126,-0.020725557215285614,0.04561954931952444,0.017051802071953694,-0.004866634297338883,-0.0008424961235387485,0.01701181413820941,0.01665234730248471,0.008766252826654634,0.04026387978680391,0.03100436386612797,0.00980601332615337,-0.009820593026937852,0.05738826324025449,0.050646709323668285,0.18959524411023868,-0.011979247969100949,0.011721638620154715,-0.017045380485383062,0.05161124816420995,0.055817724157263444,0.062416052264682005,0.10100696145051959,0.09931720113783864,0.12694190242534498,-0.023518503868881855,-0.006292324124091834,0.00024139916599998524,-0.010910510252094262,0.008363464544588478,-0.01115678042070826,0.0026124114850132256,0.012007209903027536,-0.014424642681863614,-0.028101091581225736,-0.0006038401530690314,0.004211725037362495,0.003786411279482318,-0.007267279250074594,0.008974083538118226,0.0031340221768164714,0.00216630521135222,0.0033012472954277016,0.0021822886203795616,0.011803454696428925,0.005007656375455059,-0.002514595808404543,0.009255905192555505,0.018198306843321733,0.004773955886430096,0.013036402319361765,0.013429109814927334,0.009225199353196377,0.009868968561562013,0.006176577470058185,0.0010827679677432457,0.023630901153935423,0.027443499770755636,0.040773400740544495,0.015504887951708882,0.007171672622461629,0.02433569099908717,0.018543125439970224,-0.0030780928109620195,0.019497933525919352,0.00045874785032447383,0.0314534732104126,0.028089841225286915,0.018524734571913153,0.01885360336691348,-0.01964317574934464,0.021834861765981768,0.02292289061529944,0.018777936028457887,0.019668277079025017,0.023290497723290317,0.019332231792321127,0.02608453205274332,0.028630064216082458,0.009907836814210922,0.03277829642433193,0.007721453760656233,0.02206062303825099,0.01131912358544654,0.04858873721619382,0.04022848898001522,0.020596103095384777,0.00750375526467471,0.02639122370644938,0.03662222783076409,0.012312041341883712,-0.01300439602693533,0.0058986728043478424,0.005694326401008566,0.041463746297400295,0.03727280597238797
townsize,0.4141943925055149,1.0,0.009491109643279804,-0.07546428064236356,-0.06908139756765781,0.002530982500385971,0.003684921498962756,-0.010860470903834992,-0.019809701029220573,-0.05901373445309266,-0.0581694994392135,-0.0659064403387488,-0.0019147001996649476,0.001580148870448406,-0.007592089851786429,-0.019592471482296245,-0.018986196855978944,-0.02903535824385676,-0.005378409590435625,-0.0028052056763090668,0.023589876881303116,-0.031193968659276972,0.029925068150634067,0.026109645936988612,0.02325020487272924,0.045429992864182374,-0.0002206373555731087,-0.01899702926118112,0.031729759689676354,-0.011035126512007913,0.012033154844394007,0.0022674492294802997,0.022969894990701224,-0.0065830088492988305,0.02406860990390675,-0.0031366360194372968,-0.042228557958202594,-0.04330608263241172,0.003665922073786334,0.015417173279959152,-0.009572759526292971,0.0022035925811229205,0.0009738926285216802,0.0011232129360192555,0.00910339970657647,0.13560993824458883,0.1300584899591937,0.4859776067593345,-0.031958509524940344,-0.00488838272683211,-0.01671767902864538,0.13180441930173067,0.11699503238394884,0.10037851752953574,0.18682864333489127,0.260873670245069,0.2975511100419492,-0.02156036168243935,-0.0035220509407231154,0.0013378571925393794,-0.015007816425683178,-0.016540630587718253,-0.005435628011733262,0.02644157850505309,-0.0002342718524752709,0.0003619401187149923,-0.007593897860259698,-0.04207340845313849,-0.0337565483287211,0.00783961852966396,0.0017460117830769245,0.022991743210366435,-0.02887996361699371,-0.04006211680596935,-0.03264253263812592,0.02279362408345777,0.010490708436745003,-0.029884854277551796,0.0008382709372286132,-0.014820828751514994,-0.015863042215169897,-0.019303507477862598,-0.020073906829345053,0.0006596468404419651,-0.01671963960931222,-0.05038172446044777,-0.021663554111967395,-0.03786306871510134,-0.0063447880601562945,0.0009031134810727777,0.03908132313222136,-0.0077008842767740246,-0.009741942269871032,-0.024730290294540314,-0.014203666037949024,8.342788076114351e-05,-0.012821313732663764,-0.018233663421519553,0.007910934368947535,0.0044760385681815625,-0.01806200866662379,-0.006593292686982084,-0.04191967993076099,0.004593380664229708,-0.006881564211421849,-0.004058772216245986,0.00304848489961826,-0.004100140386820322,-0.010576047216967595,0.0028552475753446595,0.0035924895252975497,-0.008314495072026563,0.02650211578659502,-0.00038274885867825873,-0.004527301289302207,0.01643120016630285,0.02069207705327634,0.02275772212628014,0.0026636342548723353,0.005330587974434532,0.00789564497556009,-0.0006361183085356452,-0.028678411441387334,-0.006225246051174421,-0.010036672896983092,-0.007200324367353263,-0.005599373917257533,0.009189524743521077
gender,-0.01280973557078698,0.009491109643279804,1.0,-0.010185912956126955,-0.007427183970713942,-0.0006430394574494421,-0.002672860872709925,-0.016470317789787636,0.00031085789258203535,-0.010945518269883842,-0.013842468242547468,-0.021039891951677023,-0.009952388783677867,0.001972915420741266,-0.00214873913123114,0.005308668217170174,-0.012171752733103879,0.005337456465397639,-0.017953357745456207,-0.0019414417280463002,-0.001620451957323412,0.0017819121977811984,0.0038882706176081193,0.002013271413370898,-0.0019178421432887829,0.0319494507517609,0.027683909563793976,0.014868702078519945,-0.012092314196059366,0.025103187449716076,0.00613898236893124,0.008747399948488398,0.002267331124326443,0.023060886832580854,0.006350971910098897,0.0032001248082401037,-0.014109258290683878,-0.006029911678893558,0.014120372178123527,0.009135270484579669,0.013085756026875886,-0.007475380443101278,-0.0024082281013588784,0.005596929317453519,0.011661577203949449,-0.01041591071999073,-0.01176384374534002,0.01134266684531309,0.031083304410783552,-0.0017754467172351874,0.00324369165333787,-0.028759950032498337,0.0022919065312727157,-0.007104054017990956,0.013717527236574881,0.01940507440978124,0.005030103461682688,-0.006535926920568081,-0.014943963573984352,0.024776442994303254,0.004640389680021984,-0.015293529694547059,-0.03628365930900318,0.048497567702745874,-0.023830302737962255,0.025206661196465825,0.018446412543529175,-0.020110893458539794,-0.006376889082090158,0.030362494726068535,0.01868579096432926,0.006584014751461114,0.006799331384567836,-0.013578002140876965,-0.008150102900163192,0.021339546044192484,0.015647256568715847,-0.009456473579435801,-0.013391432152145109,-0.028278332888460853,-0.021084826477493705,-0.026560091685573568,-0.011565611666714128,-0.010861862353655835,-0.019202522106352784,-0.023306002914637622,-0.012675592844757241,-0.0029013878975463953,0.011701769077373927,0.0038506274408625523,-0.029598830509159773,-0.00443508886839537,-0.02486626925464041,-0.012769002569578483,-0.021601535893924252,-0.01845712615446278,-0.01651044351016481,-0.014021804934243692,-0.006170111687948815,-0.019311609770201913,-0.038058024697627556,-0.015518445826843034,0.00025396588814823664,-0.01983881383049967,-0.006052965959966811,-0.011541063859710883,-0.012860678571756462,-0.03969276292371042,-0.02492023471948803,-0.017734453442486444,-0.018901995467581343,0.02033532188797184,-0.000600304721067945,-0.00465521686946823,-0.0035697589115906542,0.012180538774173686,-0.002860503032320821,-0.0011159420271370786,-0.006962566283829168,-0.021319487443966147,0.0011643899517470469,0.009167199276695069,-0.020837290431122535,0.018057963940395,0.0013849308050523268,-0.00968506975214183,-0.07613290976849334,-0.07835127035698722
age,-0.02652545488968158,-0.07546428064236356,-0.010185912956126955,1.0,0.9698787511491436,-0.09455987946303639,-0.081129090998384,0.03770872759291006,0.011205648935625449,0.7030530199892984,0.7395734277800406,0.5675186183634663,0.1893012413684236,0.14415626064532536,0.20965924690639534,0.039083501974705975,0.1196330210406683,0.10924643956693832,0.13758311719480662,0.12631382387240864,-0.39420822661228944,0.4168071407919274,0.00303097168613744,-0.0028921004663670083,-0.003425217273179094,-0.33614862412906404,0.027097744283237878,0.015496259990898313,0.014603849002160822,-0.016220132751951364,0.008047121055100682,0.0034303592881289396,-0.0013177365349679186,0.023293467105423373,-0.018264093420188574,-0.022518754158597776,0.8223412657829301,0.8270640824505651,-0.008960268677062623,-0.08156288852196932,0.010314755506231453,0.17576585520140733,0.14100304034317684,0.008255481559535004,0.01900129381846661,0.0005066785285256527,0.004161367909221694,-0.056820863418685495,-0.013161730265959582,-0.007201284255960651,0.03519818349390448,-0.003162276772870681,0.011042445154581736,-0.001310821564707304,-0.016591198023191242,-0.014098465276938936,-0.01168672517906018,0.015065007423175755,-0.02031193166445671,0.029140714179258766,-0.022450456876934095,0.011028128643780534,0.006615876375088497,0.009268334840650622,-0.0036121097490971845,0.00870802198000928,0.003981323987385985,0.734837528734498,0.6762813885743106,-0.0069561535653394155,0.03828117939512875,-0.014995759121402016,2.996385304527174e-05,0.6915488174897193,0.6651593381907471,-0.23901144771925398,0.10965601013449904,0.6120300378261203,-0.2659762668756393,0.44422691992348906,0.5207137927764305,0.4745596641062475,0.5698542947514297,-0.0026116921133925858,0.1091140025604334,0.33703356458212885,0.262277703832008,0.5379045207018734,-0.14155035627969315,-0.10177660536830033,0.17262957739294366,0.09300544416135073,0.4852043805368193,0.2867212768355128,0.2875518328396025,0.17888207165523604,0.4427860685263564,0.5134143059625472,-0.0807472320209819,-0.02175337786837677,0.263042532404569,0.10900404814461218,0.5031920834799914,0.23813593641912215,-0.07783311634340878,-0.0745010198284179,-0.12645828542594353,-0.01834315207222627,0.0015701788783353224,-0.002782664993098652,0.0022041363051844365,-0.12007796748067695,-0.07582403970891037,-0.027446229458450353,0.09919386921598056,0.09302852169436916,0.05509956404655627,-0.07442307759503139,-0.13328369369992407,-0.21752357770673295,-0.23522567139218836,-0.042090228334341694,0.36520424801308776,0.015139940649929112,0.013174960485531876,-0.026230829100045802,0.030848400765938255,0.002317745917311954
agecat,-0.01845528516484712,-0.06908139756765781,-0.007427183970713942,0.9698787511491436,1.0,-0.0790214355191946,-0.06412362451684873,0.032554396431782116,0.004465367353396232,0.6767222412981135,0.7322463655956407,0.5113347421284692,0.21192695457694746,0.19095158648829413,0.24939350353975223,0.04133935202606052,0.13100124976218572,0.13622059946640844,0.1568172789242813,0.1583570426506913,-0.39285866657502644,0.4225640022594802,0.004784605171086607,0.00047997299680455443,0.000823723220110176,-0.32922059942281273,0.028179581031587967,0.021222870140823913,0.013146746255327968,-0.011076903587472079,0.013893801291554179,0.004075747168244577,-0.0011850059845155466,0.021683113659014167,-0.01479273272143235,-0.02718732924099975,0.7990256577538201,0.8290987796032492,-0.004668580840556352,-0.07091004241184547,0.012551431970908638,0.20046157624440344,0.16058460198932117,0.009064882372676705,0.016535621031369185,-0.005206905086822469,-0.0019715513198070075,-0.05310455941952208,-0.005475325476601577,-0.003276014230781749,0.028330575411529196,-0.003349829488157723,0.014767993762577456,-0.0015126464504527305,-0.01270395932795233,-0.01076573740634129,-0.012206582913939763,0.01272347302870294,-0.019324802358857005,0.03605638634859599,-0.019001438708783434,0.016982917910678248,0.010554475153650015,0.009448098896220957,-0.0015521071031192246,0.00999704040781716,0.005603813472454058,0.7179918506587396,0.6880273730154608,-0.010372446721836622,0.03644910976090377,-0.016360891238844565,-0.000202480398460674,0.6798861366943441,0.6685724879014644,-0.23786438939590948,0.11719266878133339,0.5964838935373757,-0.2563243388513666,0.42078663829726487,0.5007014139938145,0.450388129361021,0.5568530640021663,0.004019173665866313,0.11209567351899538,0.3295811926944471,0.25949512890064896,0.5304523180234245,-0.1350743784404155,-0.09392366268815398,0.17829285177962426,0.09603515137190109,0.47777448335477685,0.27690324101195174,0.27483593731768524,0.17074479920530125,0.42450098656353435,0.5090370102336836,-0.06685840967267771,-0.009428326957914976,0.25741970560866917,0.11639529932974217,0.4920084920381362,0.2323166049685996,-0.06610656696279112,-0.05905114472102814,-0.118885041383408,-0.009300015517799586,0.008282683335923158,0.005250138740955066,0.012626107235692173,-0.11488880079266019,-0.059941709253173846,-0.0197395689005351,0.1263226607848628,0.12084796159015321,0.07888828999459925,-0.05948969297056547,-0.12319195492598073,-0.20868953188143952,-0.22338683001819262,-0.029309521220075962,0.34827479329883426,0.010039028136696266,0.010467453621367851,-0.014860222967633317,0.05023250166570026,0.025910116951739493
ed,0.013173254904470936,0.002530982500385971,-0.0006430394574494421,-0.09455987946303639,-0.0790214355191946,1.0,0.9638959094116821,-0.07229723905786377,0.000594226339222824,-0.21537355841707093,-0.1978842531280401,-0.09327781707149234,0.17803592680899313,0.208097899902832,0.19675114615293737,0.01163336663018073,0.10570037412225423,0.12998933388993558,0.1267782053322042,0.15413733371711466,0.11014124911604795,-0.08012027422060261,-0.021443963747708704,0.1175633698739811,0.1702774929293818,0.02323020242853209,0.03221155246323627,0.010228574235300701,0.028155076221564497,0.008050939705494127,-0.001301414245681641,0.00813129887693122,0.004736844903473451,0.02223350358956527,0.05120647575345459,0.018777264806610693,-0.05645334670207426,-0.033369984395881964,0.004356236747381565,0.039807277649676856,0.014746098224636418,0.15843266720211344,0.10570732426796443,-0.000501954353628372,-0.0031877583833964684,0.009807143352247263,0.010422318965250938,-0.008995054980847917,0.001895334556547176,0.0010931210487798602,-0.011638663129543928,0.008032882319062561,0.001019093993804816,0.043161261730205146,0.025387516350237564,0.003633174427810492,0.005574711465197728,-0.0020938801541973136,0.0033604508977128386,-0.09312000980018671,0.0018196966340958516,0.017417556084232098,0.09706865127904833,-0.02089291211475099,-0.017361492982859668,-0.015565959289664259,-0.021656334973384553,-0.09444925081731387,-0.04740716143425471,-0.09240356964267796,-0.02170770525895727,-0.01243122937092635,-0.0211369502913342,-0.09737514479898693,-0.06081147543208837,0.01574135950182574,0.009694397694489522,-0.09517007900076385,0.23924579303343466,-0.08741862511053002,-0.09006884842277973,-0.09445970024780756,-0.08114577584660783,0.028533048021411225,0.01799785007433615,-0.0156578096247797,-0.01643479585226228,-0.041728646198934335,0.4358475035890139,0.4492788374112903,0.23015437281250453,0.34199060428618305,0.0801496993934412,-0.048743608714235526,-0.03954523636150951,-0.015224686201929412,-0.07787956286306323,-0.05963062786736262,0.3301819302892852,0.3455495618216471,0.23943509959093004,0.26190900705636194,0.07877398621702035,0.26098509439996725,0.3342011258805826,0.3155097550069456,0.4634435144678478,0.043803849749970425,0.045580351825152125,0.038577619129270706,0.04420704240446903,0.42786474025988863,0.027896292185370875,-0.009503169325876583,0.06450525192520666,0.06218149279224393,0.05318943924395709,0.2998708446875252,0.43503435030280174,0.3692557414083484,0.3762353598672816,0.2767495542197729,-0.07364362062561543,-0.11760632418611554,0.07320706296870391,0.10717066447017361,0.09823716695023153,0.09750568735353174
edcat,0.01570965371058426,0.003684921498962756,-0.002672860872709925,-0.081129090998384,-0.06412362451684873,0.9638959094116821,1.0,-0.06900235035563318,-0.0032401482558977895,-0.20041945863676,-0.1856724116816691,-0.08932152755025581,0.17649447278533734,0.20808457321159385,0.19724994480520416,0.009446864177995782,0.09991831085760872,0.12796916009086973,0.12360046103511624,0.15481192520993434,0.10371432949784791,-0.06566661518104809,-0.02229250996185853,0.11113651906812778,0.16474580665243474,0.014514467069266538,0.030485351093818693,0.013167176539046348,0.030387412920723274,0.013713802098744536,0.0005999857412707135,0.003756801273901577,0.006829194108643378,0.01829401263807823,0.05453523999940147,0.021945332660589557,-0.04398366970109366,-0.02050078432609925,-0.0016181836853349247,0.033752174466204425,0.011866395539019062,0.15723426292310505,0.10528601440800497,0.0031004709712626364,-0.006172582503247643,0.009072132761719826,0.009359320382311109,-0.013678537448466102,0.0009051429291746522,0.0039516067962117015,-0.014191335530755671,0.0066688358820281984,0.0016066281634195315,0.03902760408062028,0.023275529815704386,0.00693525044502601,0.001250166663929562,-0.0028221761956941983,-0.0010801775855218305,-0.08768012667924284,0.005266097633662497,0.013936729874110982,0.09564334845332834,-0.015564115253608343,-0.012327348033350817,-0.011449792428734274,-0.02051157286694761,-0.08213071142952003,-0.03367983229245448,-0.09270839942724175,-0.023377153829551772,-0.011412792411161504,-0.01184550992532764,-0.08558169532948488,-0.04840594082649994,0.009675610621222078,0.012956532039015697,-0.08674719481528598,0.2312728796896311,-0.08158336755223995,-0.08417980225704193,-0.08737694992510545,-0.0734289628300113,0.03205622877319384,0.022110334338006125,-0.015240751814783219,-0.010083028443218704,-0.03483437735923052,0.42972477870001036,0.4436072101948063,0.21710355799205283,0.33823062566614304,0.07901019787790968,-0.046291180406846794,-0.0358751088846929,-0.012269434369579208,-0.07162125971864548,-0.0522276295873507,0.3220057510895197,0.3394625111655311,0.23289217239541474,0.2581926905023874,0.07822452564852335,0.25261510512042573,0.3275545515045937,0.3112928876731727,0.45132626025980566,0.04935949644553986,0.04710593944935068,0.03607287410495418,0.04656804820753741,0.41626945021895206,0.030799288579591598,-0.008986733417752824,0.06982142623885874,0.06656944353263751,0.05656300685435941,0.29312545473795526,0.4146193557263217,0.3574810397546767,0.3611908182010901,0.2736457712798073,-0.06842010397936456,-0.11265272038787337,0.07017215915477958,0.10622336859243701,0.09713436616949735,0.0940926333915294
jobcat,-0.004717454831713668,-0.010860470903834992,-0.016470317789787636,0.03770872759291006,0.032554396431782116,-0.07229723905786377,-0.06900235035563318,1.0,0.08477773724335763,0.41647156971137084,0.3467227260637414,0.1737358252946339,0.10424896009208102,0.05485240916484224,0.06755492610019755,0.005491778724709536,0.06813903661248627,0.030779124808729127,0.07702443903026832,0.03040713093270991,-0.08602224348125799,0.17170268847982503,0.003116214583175286,-0.0033977427837528105,-0.007822766776116818,-0.015511774105750121,0.011539324637732185,-0.020794297511262605,-0.0010111934384635236,0.0008045220045843769,0.007321441083139687,0.003773202731668514,-0.012600803620061232,0.01921849488501041,0.028167310137192113,-0.022920499132203634,0.04844063953806919,0.04135012368802791,0.017468206835451718,0.001892997523134689,0.010942308068279435,0.09490732508407886,0.05517308696290749,-0.0033719250945142554,-0.006662725327767736,-0.023440154288444905,-0.021748520339583594,-0.004953685894259542,0.025452244045061426,0.0022050939319620774,-0.010879734544979562,-0.006605338078458721,-0.002732033270964672,-0.027458384146337625,-0.01311481348584755,-0.016240757950110797,0.01186884373638082,-0.001659030486879604,0.015027574457338806,0.020041550354809614,-0.017910817344067163,0.0015294405907942885,0.018944607292306796,-0.020424065544171855,0.01221063624087023,-0.03130254074340811,-0.010978920445094839,0.1485281404302333,0.10294731152542444,0.02012415136722747,-0.005357683799453854,-0.013699571285296612,0.029617447030307654,0.15940634443061327,0.1168265720974068,-0.028845525992238264,0.028366708018136916,0.150106510679506,-0.06221073066801671,0.15101285118799593,0.15918543834462054,0.15654226056473353,0.1459222560141416,0.013099740410393083,0.056060321283581474,0.11493781397013789,0.0933852546491793,0.14608821899265917,-0.04680932929604016,-0.034883352022078686,0.041801467266870944,0.017757573354050947,0.1125132925907809,0.09400186149787264,0.10633046614198376,0.06932608221284639,0.14633937601449018,0.1284861533429527,-0.015514928552958602,-0.00035943787269357446,0.05080139391046366,0.033278181493356686,0.10142866172256791,0.08027876443843647,-0.029174744286687853,-0.025179549070989047,-0.03965328581107585,0.0028456534766389844,0.030651895422535137,0.019355159363718937,0.004103123671313948,-0.04253979697387248,0.0035506068776861464,-0.030834552563164655,0.025123582514733695,0.011965734242657428,0.022038144770403813,-0.009352225881295723,-0.03792944252226094,-0.026887992055816524,-0.05027830048014504,0.008409086642382787,0.09086051597615574,0.00013705351678807264,0.002887842972127801,-0.00841528416335608,0.010924344652890822,-0.009458365936167492
union,-0.013767673567528197,-0.019809701029220573,0.00031085789258203535,0.011205648935625449,0.004465367353396232,0.000594226339222824,-0.0032401482558977895,0.08477773724335763,1.0,0.03484607536465379,0.028027940817487444,0.016391578185363843,0.0018323889916480455,0.008125876761163747,0.013028145381767678,-0.004069436774682169,-0.009345837516666977,0.01013264001768974,-0.009752900230472528,-0.0065792773954379494,-0.017210116796324615,-0.007664024475190081,-0.004504603236598992,-0.00232727131299757,-0.0020413770260804594,0.0047166858617984095,0.022246035582868175,-0.021601131839696527,-0.007472487649966975,-0.00956008175850133,0.027364218264563766,0.0023189424229113427,-0.020487680656734487,0.03402260990050182,0.0023380329239252855,-0.0073120208727848884,0.0018818626752205379,0.0018476000891966059,0.0035300312445977872,-0.001618485052464208,-0.002496166754927129,0.005014096030940046,-0.0058794487154299555,-0.030318062353667713,0.008234285808954656,-0.0038925879668620642,-0.0030557889478442317,-0.004296150695591937,-0.005170704232564426,0.021037691504477592,-0.0031131002359262683,-0.006748217435580088,-0.01575796701407889,0.0035682231964256892,-0.0038878046658894264,-0.017395261968863526,-0.005119540907176225,-0.003040647663683552,-0.006939178829584782,0.016913721737843345,0.006507217080820537,0.010179664905910846,0.004907104956710147,-0.025885832368563347,0.009338848852388702,0.005804658408063483,0.0064224284219206295,0.01519809813794038,0.00893181922633774,0.0040698646251116286,-0.01654178577502157,-0.016842940419978327,0.004976068543164651,0.015807890453325726,0.007787118357961022,0.007502773458445351,0.007873981340102804,0.003601310533609939,0.008448820852362671,0.0227245483988964,0.01744218312426887,0.02218159240051764,0.016622206565959422,0.015031598827906435,0.023272232909677813,0.02659760225509401,0.00925586425809452,0.022733326311327566,0.013374815817337805,0.015507177880141807,0.012767804804084721,0.009177059242841023,0.008306428993857357,0.019259129259997704,0.014526107597108916,0.0015233049806824069,0.01240995053441105,0.002932763700815387,0.03121376540865836,0.027928269920268468,-0.0006584560239129457,0.017652913161635943,-0.0012200742978845454,0.03659902023036659,0.03393249116622862,0.034905481555602746,0.004662262722265871,0.0354930728522111,0.0143895020133505,0.0175056309958304,0.017470959670491004,0.0040517166739202975,-0.004957835160100253,-0.009686754556174477,0.005636076392702999,0.012555199394975495,0.006250670326297047,0.019564592968862878,0.006489376437016662,-0.005895171608928878,0.006765115379985228,0.02451630658002746,0.007508301495302348,-0.010491623272990998,0.006430579889827601,0.004478954400623966,0.008021209243787098,0.022655436676989174
employ,-0.011035782482832508,-0.05901373445309266,-0.010945518269883842,0.7030530199892984,0.6767222412981135,-0.21537355841707093,-0.20041945863676,0.41647156971137084,0.03484607536465379,1.0,0.8981623306282392,0.5028698823823943,0.3191014682778294,0.2664712701924192,0.31287122586261307,0.03319217104543059,0.19312975759505147,0.17345338152931886,0.22598133781588425,0.19503890486029296,-0.3270871289259349,0.46136183030426076,-0.007134228450683955,-0.030436950081237292,-0.03626063824310627,-0.24291019657061919,0.023703121815066036,0.008094346822693799,0.0042512634715487045,-0.012746233829400206,-0.00665631208207725,0.007384423327816666,-0.012844862502114885,0.026304590004840596,0.02140023136680337,-0.04150274182081276,0.6064404681529093,0.5952248472560281,-0.0009622790058316728,-0.0390333659668296,0.002390204403531274,0.2896093442433032,0.19588118234692645,0.006062822264608798,0.014208349521560686,-0.0067649169868862135,-0.0035227728638041436,-0.030682525496438965,-0.0007386608736338283,0.003421769459827193,0.027343750267408633,0.007871576939922605,0.003707072099659895,-0.02103577463956566,-0.02803003688520472,-0.012886953158265123,-0.0012566063767950003,0.015025098669187126,-0.0048135167373462295,0.06149815513795002,-0.022048225138221158,0.024140007720207038,0.026240607059873453,0.00010002325309234378,0.004787985675610439,-0.0021280885733216356,0.012940013453234644,0.6775235054597313,0.5552180224632055,0.000560994373060599,0.026430062535838038,-0.0037720788132268746,0.022823835826061328,0.6548753926525318,0.5763194773554163,-0.16797803927009988,0.09224573046279849,0.5854785960382173,-0.25411304186027694,0.49460184968831167,0.5312009112817664,0.5265756066212736,0.538352753620846,0.022942137576699977,0.14985923058805325,0.3689460871497594,0.30626988637191543,0.5095571663000499,-0.17386237831602105,-0.13182558754013077,0.19501352777378622,0.04821484010338836,0.44454127163328455,0.29068320345188986,0.3140442819450198,0.19706523308588958,0.4695076387023251,0.46102853372613006,-0.08094487780996759,-0.024316924362040887,0.2544407140482933,0.10300289254708209,0.4553511481562615,0.22162355693330965,-0.08064348421901578,-0.0870127201186088,-0.15477082392072608,0.012422756032129322,0.03675878086333963,0.029283216926192995,0.028524916835133918,-0.15181661030613464,0.016139468611374632,-0.00041774616275269775,0.12683232578484133,0.12441327654254634,0.10687422370674178,-0.07040794169241119,-0.16133652368742535,-0.19810992296207786,-0.21839899149614417,-0.040181448754449574,0.3671606665291742,0.04009558683903281,0.014430264865687598,-0.028479955160068796,0.0882138243936092,0.06662481126369069
