,x,log x,sqrt x,square x,exp x
forward,0.05173761080337699,0.05173761080337705,0.05173761080337699,0.05173761080337699,0.05173761080337699
ed,0.09701183793039542,0.0958137486439043,0.09657737003776164,0.09654175987412693,0.09632350461724563
edcat,0.09409263339153305,0.09119533624288012,0.09224041570514548,0.09364305579047867,0.0912629827816963
empcat,0.09342821604582677,0.09567476859647454,0.09527845945431089,0.08778152818854253,0.0956348739045261
employ,0.06690121945396935,0.08675862127485137,0.08174044943923706,0.040907480352824384,0.08356485176395144
equip,0.05198425784657974,0.05198425784657981,0.05198425784657974,0.05198425784657974,0.05198425784657974
equipmon,0.06965890259779357,0.057169410081332604,0.06155434904221751,0.08035532465471572,0.05849745506012669
equipten,0.08044954682835845,0.06161530100193305,0.07422222000835725,0.08047690389424071,0.06954984570298167
wiremon,0.08780871984645452,0.08013154545929446,0.08352582958367841,0.086905504453853,0.08120811484253757
gender,-0.07835127035699137,-0.07835127035699131,-0.07835127035699137,-0.07835127035699137,-0.07835127035699137
homeown,0.06930348581872613,0.06930348581872628,0.06930348581872613,0.06930348581872613,0.06930348581872613
inccat,0.3779245439442427,0.3797416666440019,0.38037440594620076,0.36049845006603826,0.37990679916662845
income,0.35281679193773224,0.4017126566829675,0.38557148907831945,0.27555771160497616,0.39322988683128707
internet,0.07392868414746159,0.06910200690989737,0.06738753490264748,0.07558033624559406,0.06336381094844809
jobsat,0.061996460834713246,0.061810039438128926,0.062059639872017056,0.06044655748151577,0.061937741103140216
creddebt,0.2324990336509535,0.25891872739899063,0.2570671678064698,0.17575793428212497,0.2595862275067616
othdebt,0.25825301024368513,0.28208155513974936,0.27991344505714677,0.2012678359752809,0.2813744367128993
owndvd,0.1642199262638193,0.16421992626381932,0.1642199262638193,0.1642199262638193,0.1642199262638193
ownfax,0.06369917773060774,0.06369917773060772,0.06369917773060774,0.06369917773060774,0.06369917773060774
ownpda,0.07023626256099401,0.07023626256099379,0.07023626256099401,0.07023626256099401,0.07023626256099401
owntv,0.08546085170410564,0.08546085170410574,0.08546085170410564,0.08546085170410564,0.08546085170410564
ownvcr,0.16053057374958954,0.16053057374958932,0.16053057374958954,0.16053057374958954,0.16053057374958954
pager,0.05878544616409175,0.058785446164091815,0.05878544616409175,0.05878544616409175,0.05878544616409175
response_03,0.061577005516222805,0.06157700551622276,0.061577005516222805,0.061577005516222805,0.061577005516222805
retire,-0.20046723115609538,-0.20046723115609563,-0.20046723115609538,-0.20046723115609538,-0.20046723115609538
tenure,0.05064993807165769,0.05618581268995505,0.05486747271231578,0.040925744935550984,0.055690549539729704
tollfree,0.05395324223447422,0.05395324223447419,0.05395324223447422,0.05395324223447422,0.05395324223447422
tollmon,0.0737997629715931,0.0622996506583866,0.0669399167471731,0.07383826551516033,0.06325998939744967
tollten,0.08455369405243832,0.0685683951176092,0.08322077984690543,0.07162372425673681,0.0783604525195857
vote,0.057015094537758014,0.05701509453775781,0.057015094537758014,0.057015094537758014,0.057015094537758014
wireless,0.07529752181333238,0.07529752181333235,0.07529752181333238,0.07529752181333238,0.07529752181333238
owncd,0.15436090958093177,0.15436090958093152,0.15436090958093177,0.15436090958093177,0.15436090958093177
confer,0.055306571093864026,0.05530657109386396,0.055306571093864026,0.055306571093864026,0.055306571093864026
wireten,0.09768947925456016,0.08631511246199598,0.09697595288886103,0.08682957727440414,0.09360523013742862
card2tenure,0.054089915106467094,0.06970294943821134,0.06486542093313197,0.039104112182929154,0.06968549004530782
carcatvalue,0.2039415517299905,,0.3362703244495543,0.30244075707914714,0.06285549837558148
card,-0.23205873752467682,-0.2660008155649195,-0.25736011791354907,-0.18453140122627343,-0.2655390800644234
cardtenure,0.0504042396854774,0.06908392939819041,0.0626526949573864,0.032868511329418884,0.06788421026335023
carown,0.07494379719348895,,0.1710062025802002,0.16329704108511361,0.07494379719348895
callid,0.054237215669546014,0.05423721566954601,0.054237215669546014,0.054237215669546014,0.054237215669546014
addresscat,0.06953574557268825,0.07932586640671366,0.07657406118273938,0.054900558527925046,0.0786887216626284
card2,-0.07596933201596766,-0.09607818735162771,-0.09075791907444747,-0.052206166934433786,-0.0958435481598994
carvalue,0.3047256995368927,,0.3769660723276424,0.27936831141491375,0.1701452008358241
callwait,0.05511930675644174,0.05511930675644178,0.05511930675644174,0.05511930675644174,0.05511930675644174
voice,0.0453244786005525,0.04532447860055246,0.0453244786005525,0.0453244786005525,0.0453244786005525
multline,0.044173995582256646,0.04417399558225669,0.044173995582256646,0.044173995582256646,0.044173995582256646
address,0.04274619802671737,0.08464230745710004,0.06920345260478804,0.009394756331903979,0.07918984614262256
ownpc,0.043595343895233916,0.04359534389523395,0.043595343895233916,0.043595343895233916,0.043595343895233916
hourstv,0.04752857159690853,0.07677789639251582,0.0676304069397113,0.029296143205479946,0.07616750650126605
owngame,0.04331589805754558,0.04331589805754552,0.04331589805754558,0.04331589805754558,0.04331589805754558
ownipod,0.04333461777581665,0.04333461777581659,0.04333461777581665,0.04333461777581665,0.04333461777581665
region,0.03727280597238798,0.03767044349402679,0.03766861460132923,0.03591620449374702,0.037728527108997136
spousedcat,0.03830946543291676,,0.0738964447643352,0.04838039911667757,0.025506801514242103
longmon,0.03595885408891885,0.04343521741472538,0.040789246600415954,0.026706184872712417,0.04202995386508533
longten,0.03541393049015605,0.05630326686749551,0.04679145321016708,0.02446069891075172,0.05087965440220741
polcontrib,0.03134840099689797,0.03134840099689795,0.03134840099689797,0.03134840099689797,0.03134840099689797
ebill,0.03157576571937338,0.03157576571937344,0.03157576571937338,0.03157576571937338,0.03157576571937338
spoused,0.030863571871314523,,0.06235009385981798,0.039785408283596654,0.022253422782496785
agecat,0.025910116951739188,0.04450118461808991,0.03781882205927456,0.0024954053722188183,0.04170213387953442
news,0.027504282571818434,0.027504282571818504,0.027504282571818434,0.027504282571818434,0.027504282571818434
cardten,0.026443182408892135,0.028609092062336427,0.030987689113057798,0.01853108578200593,0.030821895469061694
bfast,0.029769261946316697,0.026133763434499187,0.026973669869619042,0.03455995830903599,0.02601165716765007
Log_total_spend,1.0,0.9939063084095638,0.9979522622083675,0.9940403374816612,0.9962062406729847
